City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
Atuona,PF,-9.8,-139.03,80.64,70,7,11.25,clear sky,0,0
Tasiilaq,GL,65.61,-37.64,37.4,86,90,14.99,light intensity shower rain,0,0
Zhigansk,RU,66.77,123.37,36.97,73,100,20.54,overcast clouds,0,0
Ushuaia,AR,-54.8,-68.3,37.4,79,40,5.26,scattered clouds,0,0
Punta Arenas,CL,-53.15,-70.92,37,74,100,8.05,overcast clouds,0,0
Aras,ES,42.56,-2.36,84.2,21,0,10.29,clear sky,0,0
Yellowknife,CA,62.46,-114.35,37.4,55,20,8.05,few clouds,0,0
Saint George,US,37.1,-113.58,84,23,1,4.7,clear sky,0,0
Vaini,TO,-21.2,-175.2,69.8,94,20,3.36,few clouds,0,0
Chuy,UY,-33.7,-53.46,63.82,62,0,5.77,clear sky,0,0
Souillac,MU,-20.52,57.52,77,78,40,12.75,shower rain,0,0
East London,ZA,-33.02,27.91,77,25,8,17.22,clear sky,0,0
Tuktoyaktuk,CA,69.45,-133.04,35.6,74,20,9.17,few clouds,0,0
Jawhar,SO,2.78,45.5,81.55,73,100,12.37,overcast clouds,0,0
Rikitea,PF,-23.12,-134.97,76.37,85,76,10.71,light rain,0,0
Coihaique,CL,-45.58,-72.07,37.4,93,75,2.24,broken clouds,0,0
Helong,CN,42.54,129,49.06,82,0,4.18,clear sky,0,0
Busselton,AU,-33.65,115.33,62.01,74,33,18.5,light rain,0,0
Bonavista,CA,48.65,-53.11,44.08,87,96,13.71,light rain,0,0
San Policarpo,PH,12.18,125.51,82.99,79,0,7.78,clear sky,0,0
Upernavik,GL,72.79,-56.15,29.12,96,77,2.51,broken clouds,0,0
Kavieng,PG,-2.57,150.8,81.59,78,83,4.03,moderate rain,0,0
Katsuura,JP,35.13,140.3,66.2,72,75,10.29,broken clouds,0,0
Mataura,NZ,-46.19,168.86,42.15,95,63,2.66,broken clouds,0,0
Rreshen,AL,41.77,19.88,69.8,49,75,8.05,broken clouds,0,0
Qaanaaq,GL,77.48,-69.36,31.21,92,97,4.74,overcast clouds,0,0
Vila Velha,BR,-20.33,-40.29,78.8,44,2,8.05,clear sky,0,0
Thompson,CA,55.74,-97.86,33.8,92,90,12.75,light rain,0,0
Butaritari,KI,3.07,172.79,82.22,80,0,10.92,clear sky,0,0
Nicoya,CR,10.15,-85.45,80.6,88,75,3.36,broken clouds,0,0
Cape Town,ZA,-33.93,18.42,60.01,100,90,14.99,moderate rain,0,0
Port-Gentil,GA,-0.72,8.78,86,74,40,17.22,scattered clouds,0,0
Dombarovskiy,RU,50.76,59.54,81.27,40,73,14.47,light rain,0,0
Hithadhoo,MV,-0.6,73.08,84.16,72,36,8.43,light rain,0,0
Coahuayana,MX,18.73,-103.68,73.4,35,20,2.44,few clouds,0,0
Beidao,CN,34.57,105.89,61.36,59,100,6.04,overcast clouds,0,0
Richards Bay,ZA,-28.78,32.04,66.87,29,0,5.99,clear sky,0,0
San-Pedro,CI,4.75,-6.64,83.16,76,100,8.99,light rain,0,0
Bluff,NZ,-46.6,168.33,47.77,90,41,10.96,light rain,0,0
Hun,LY,29.13,15.95,85.28,23,0,10.58,clear sky,0,0
Livingstonia,MW,-10.61,34.11,68.43,81,25,6.44,light rain,0,0
Buchanan,LR,5.88,-10.05,89.6,70,75,6.93,broken clouds,0,0
Lebu,CL,-37.62,-73.65,54.09,62,33,16.67,scattered clouds,0,0
Luderitz,"""NA""",-26.65,15.16,73.4,38,3,14.99,clear sky,0,0
Sitka,US,57.05,-135.33,55.4,54,75,5.82,broken clouds,0,0
Tautira,PF,-17.73,-149.15,77,83,0,2.24,clear sky,0,0
Kapaa,US,22.08,-159.32,75.2,83,75,11.41,broken clouds,0,0
Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,87.89,56,78,4.5,broken clouds,0,0
Northam,GB,51.03,-4.22,69.01,63,54,11.01,broken clouds,0,0
Hambantota,LK,6.12,81.12,82.04,80,82,16.46,light rain,0,0
Nikolskoye,RU,59.7,30.79,59,67,75,13.42,broken clouds,0,0
Siocon,PH,7.71,122.14,80.85,80,76,3.15,broken clouds,0,0
Albany,US,42.6,-73.97,77,67,80,6.91,broken clouds,0,0
Lazurne,UA,46.08,32.53,59,100,19,10,few clouds,0,0
Mar Del Plata,AR,-38,-57.56,60.01,76,100,12.75,overcast clouds,0,0
Mecca,SA,21.43,39.83,97.99,23,22,14.81,few clouds,0,0
Turukhansk,RU,65.82,87.98,45.82,61,37,5.91,scattered clouds,0,0
Ocos,GT,14.51,-92.19,82.4,88,40,1.03,scattered clouds,0,0
Dikson,RU,73.51,80.55,32.5,99,96,10.11,overcast clouds,0,0
Khryashchevka,RU,53.81,49.09,69.8,43,0,6.71,clear sky,0,0
Leningradskiy,RU,69.38,178.42,33.4,91,95,5.5,overcast clouds,0,0
Ergani,TR,38.27,39.76,86,28,40,9.17,scattered clouds,0,0
Barabinsk,RU,55.36,78.36,58.87,60,31,2.35,scattered clouds,0,0
Puerto Ayora,EC,-0.74,-90.35,75.99,83,75,5.82,broken clouds,0,0
Azua,DO,18.45,-70.73,87.8,66,75,6.93,broken clouds,0,0
Komsomolskiy,UZ,40.43,71.72,86,22,75,11.41,light thunderstorm,0,0
Yining,CN,29.04,114.56,71.4,72,66,1.66,broken clouds,0,0
Faanui,PF,-16.48,-151.75,81.34,79,21,14.61,light rain,0,0
Barrow,US,71.29,-156.79,28.4,92,75,3.36,broken clouds,0,0
Bredasdorp,ZA,-34.53,20.04,69.8,70,100,14.99,overcast clouds,0,0
Hilo,US,19.73,-155.09,73.4,83,75,3.36,broken clouds,0,0
Enterprise,US,36.03,-115.24,88,18,1,5.82,clear sky,0,0
Letterkenny,IE,54.95,-7.73,77,50,100,10.29,overcast clouds,0,0
Howick,ZA,-29.48,30.23,64.99,89,0,0.98,clear sky,0,0
Megion,RU,61.03,76.11,59,54,85,8.95,overcast clouds,0,0
Isla Mujeres,MX,21.23,-86.73,86,74,75,14.99,broken clouds,0,0
Zverinogolovskoye,RU,54.46,64.85,70.39,62,87,6.64,light rain,0,0
Hobart,AU,-42.88,147.33,55.99,62,90,6.93,overcast clouds,0,0
Xacmaz,AZ,41.46,48.81,70,59,68,4.94,broken clouds,0,0
Joensuu,FI,62.6,29.76,62.6,29,1,16.11,clear sky,0,0
Terrace Bay,CA,48.78,-87.1,53.6,100,90,3.13,mist,0,0
Cabo San Lucas,MX,22.89,-109.91,79,60,0,4,clear sky,0,0
Aklavik,CA,68.22,-135.01,42.8,68,20,2.24,few clouds,0,0
Port Alfred,ZA,-33.59,26.89,68,64,88,1.01,overcast clouds,0,0
Jamestown,US,42.1,-79.24,68,93,90,6.93,heavy intensity rain,0,0
Santa Maria,BR,-29.68,-53.81,70.14,54,0,1.61,clear sky,0,0
Airai,TL,-8.93,125.41,59.5,100,49,2.13,scattered clouds,0,0
Port Augusta,AU,-32.5,137.77,44.6,93,0,5.82,clear sky,0,0
Hurghada,EG,27.26,33.81,89.6,17,71,18.34,broken clouds,0,0
Saint-Philippe,RE,-21.36,55.77,75.2,73,49,5.82,scattered clouds,0,0
Pacific Grove,US,36.62,-121.92,55.4,93,90,2.01,overcast clouds,0,0
Hermanus,ZA,-34.42,19.23,57,94,100,11.01,light rain,0,0
Tura,IN,25.52,90.22,72.39,91,0,4.05,clear sky,0,0
Tarauaca,BR,-8.16,-70.77,84,50,26,2.93,scattered clouds,0,0
New Norfolk,AU,-42.78,147.06,53.01,81,93,4.23,overcast clouds,0,0
Kashan,IR,33.98,51.44,96.57,10,4,9.06,clear sky,0,0
Katangli,RU,51.71,143.23,33.53,93,88,3.18,overcast clouds,0,0
Dingle,PH,11,122.67,81.07,80,100,2.55,overcast clouds,0,0
Kapiri Mposhi,ZM,-13.97,28.68,75.83,33,0,5.5,clear sky,0,0
Lebanon,US,36.21,-86.29,73.99,73,20,9.17,few clouds,0,0
Esperance,AU,-33.87,121.9,57.2,67,0,12.75,clear sky,0,0
Tashtyp,RU,52.79,89.9,45.21,72,99,4.63,overcast clouds,0,0
Anadyr,RU,64.75,177.48,35.6,80,40,17.9,scattered clouds,0,0
Torbay,CA,47.67,-52.73,60.8,67,75,13.87,broken clouds,0,0
Yangambi,CD,0.81,24.43,86.7,61,99,2.24,overcast clouds,0,0
Egvekinot,RU,66.32,-179.17,29.26,100,100,10.33,light snow,0,0
Kalmunai,LK,7.42,81.82,83.16,76,47,16.46,scattered clouds,0,0
Khatanga,RU,71.97,102.5,34.97,86,100,12.48,overcast clouds,0,0
Cidreira,BR,-30.18,-50.21,65.62,47,0,3.42,clear sky,0,0
Ribeira Grande,PT,38.52,-28.7,64.4,55,40,8.05,scattered clouds,0,0
Carnarvon,AU,-24.87,113.63,66.87,46,0,11.03,clear sky,0,0
Codrington,AU,-38.27,141.97,47.41,93,26,8.59,scattered clouds,0,0
Narsaq,GL,60.92,-46.05,44.6,65,20,9.17,few clouds,0,0
Kodinsk,RU,58.69,99.18,41.94,64,69,0.78,broken clouds,0,0
Tiruchchendur,IN,8.48,78.12,86.25,73,100,21.83,overcast clouds,0,0
Provideniya,RU,64.38,-173.3,32.02,98,100,6.91,light snow,0,0
Moussoro,TD,13.64,16.49,107.58,7,59,9.75,broken clouds,0,0
Tanete,ID,-3.94,119.78,76.08,92,95,1.63,overcast clouds,0,0
Saint-Pierre,RE,-21.34,55.48,75.2,73,1,5.82,clear sky,0,0
Brazzaville,CG,-4.27,15.28,87.8,66,40,3.36,scattered clouds,0,0
Chumikan,RU,54.72,135.31,34.23,91,95,4.07,overcast clouds,0,0
Yar-Sale,RU,66.83,70.83,51.93,75,100,11.9,light rain,0,0
Sao Joao Da Barra,BR,-21.64,-41.05,73.4,60,0,2.24,clear sky,0,0
Dublin,US,37.7,-121.94,66.99,77,1,3.36,clear sky,0,0
Ulaangom,MN,49.98,92.07,51.76,41,93,2.44,overcast clouds,0,0
Mirador,BR,-6.37,-44.36,88.63,56,96,4.59,overcast clouds,0,0
Inuvik,CA,68.35,-133.72,48.2,42,20,8.05,few clouds,0,0
Haimen,CN,23.19,116.61,77,94,75,6.71,broken clouds,0,0
Namibe,AO,-15.2,12.15,78.8,69,18,11.41,few clouds,0,0
Platteville,US,42.73,-90.48,69.8,100,90,6.93,overcast clouds,0,0
Mogadishu,SO,2.04,45.34,82.4,74,75,13.87,broken clouds,0,0
Kodiak,US,57.79,-152.41,50,64,1,16.11,clear sky,0,0
Iqaluit,CA,63.75,-68.51,24.8,68,90,9.17,overcast clouds,0,0
Xianyang,CN,34.34,108.7,80.01,38,100,4.47,overcast clouds,0,0
Iranshahr,IR,27.2,60.68,104,10,0,16.11,clear sky,0,0
Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,11.41,broken clouds,0,0
Kununurra,AU,-15.77,128.73,69.8,33,43,9.01,scattered clouds,0,0
Port Elizabeth,ZA,-33.92,25.57,71.6,49,100,13.87,overcast clouds,0,0
Mahebourg,MU,-20.41,57.7,77,78,40,12.75,shower rain,0,0
Yulara,AU,-25.24,130.99,57.2,44,0,5.82,clear sky,0,0
Severo-Kurilsk,RU,50.68,156.12,37.83,94,100,19.51,moderate rain,0,0
Tupik,RU,54.43,119.93,40.41,88,87,2.04,overcast clouds,0,0
Salalah,OM,17.02,54.09,78.8,94,90,4.7,overcast clouds,0,0
Touros,BR,-5.2,-35.46,84.2,79,40,11.41,scattered clouds,0,0
Baixo Guandu,BR,-19.52,-41.02,77.4,49,0,1.88,clear sky,0,0
Bathsheba,BB,13.22,-59.52,86,62,75,18.34,broken clouds,0,0
Bengkulu,ID,-3.8,102.27,78.21,88,100,4.56,light rain,0,0
Talcahuano,CL,-36.72,-73.12,51.8,71,76,1.12,broken clouds,0,0
Namatanai,PG,-3.67,152.43,79.34,82,12,3.98,light rain,0,0
Rawson,AR,-43.3,-65.1,52.86,44,100,4.61,overcast clouds,0,0
Moranbah,AU,-22,148.05,60.53,61,53,4.72,broken clouds,0,0
Deputatskiy,RU,69.3,139.9,30.92,98,100,6.76,overcast clouds,0,0
Marzuq,YE,14.4,46.47,91.94,15,14,9.95,few clouds,0,0
Avarua,CK,-21.21,-159.78,77,83,70,8.05,broken clouds,0,0
Panipat,IN,29.39,76.97,89.96,30,91,17.25,overcast clouds,0,0
Sao Felix Do Xingu,BR,-6.64,-51.99,86.79,57,30,4.21,scattered clouds,0,0
Wakefield,GB,53.68,-1.5,73.99,33,23,1.99,few clouds,0,0
Mezhdurechenskiy,RU,59.6,65.93,62.89,70,31,10.45,scattered clouds,0,0
Lompoc,US,34.64,-120.46,55.4,100,90,2.84,mist,0,0
Bandarbeyla,SO,9.49,50.81,83.07,76,98,26.75,overcast clouds,0,0
Awjilah,LY,29.11,21.29,81.3,21,16,13.33,few clouds,0,0
Sao Domingos,BR,-13.4,-46.32,81.75,50,0,4.99,clear sky,0,0
Acapulco,MX,16.86,-99.89,75.2,64,40,3.36,scattered clouds,0,0
Tayoltita,MX,24.08,-105.93,87.62,27,0,1.97,clear sky,0,0
Castro,BR,-24.79,-50.01,63.54,44,0,3.6,clear sky,0,0
Ulladulla,AU,-35.35,150.47,53.6,100,75,6.93,broken clouds,0,0
Te Anau,NZ,-45.42,167.72,42.78,85,91,0.94,overcast clouds,0,0
Puyang,CN,29.46,119.89,70.75,72,95,1.39,overcast clouds,0,0
Agbor,NG,6.25,6.19,85.3,81,87,3.24,moderate rain,0,0
Dwarka,IN,22.24,68.97,84.87,84,0,21.21,clear sky,0,0
Los Llanos De Aridane,ES,28.66,-17.92,73.4,69,40,11.41,scattered clouds,0,0
Igrim,RU,63.19,64.42,54.73,67,53,11.79,broken clouds,0,0
Kontagora,NG,10.4,5.47,97.38,32,100,6.26,overcast clouds,0,0
Mantua,IT,45.17,10.78,81,29,40,3.36,scattered clouds,0,0
Tuatapere,NZ,-46.13,167.68,44.51,88,7,3.36,clear sky,0,0
Nanortalik,GL,60.14,-45.24,37.78,82,68,13.38,broken clouds,0,0
Half Moon Bay,US,37.46,-122.43,62.01,82,20,3.36,few clouds,0,0
Three Hills,CA,51.7,-113.27,57.99,43,0,1.97,clear sky,0,0
Hasaki,JP,35.73,140.83,64.4,82,75,8.05,broken clouds,0,0
Broken Hill,AU,-31.95,141.43,53.6,58,0,6.93,clear sky,0,0
Bethel,US,41.37,-73.41,72,94,90,5.82,overcast clouds,0,0
Beloha,MG,-25.17,45.05,68.9,75,92,10.31,overcast clouds,0,0
San Patricio,MX,19.22,-104.7,69.8,83,5,2.06,clear sky,0,0
Pak Phanang,TH,8.35,100.2,84.02,76,26,3.09,light rain,0,0
Kaitangata,NZ,-46.28,169.85,45,85,73,4.21,broken clouds,0,0
Manokwari,ID,-0.87,134.08,80.67,75,68,2.26,broken clouds,0,0
Dunedin,NZ,-45.87,170.5,46.99,85,91,4.99,overcast clouds,0,0
Savona,IT,44.3,8.27,73.4,33,1,10.29,clear sky,0,0
Fort-Shevchenko,KZ,44.51,50.26,76.71,47,66,18.1,broken clouds,0,0
Ozernovskiy,RU,51.5,156.52,39.15,85,100,7.11,overcast clouds,0,0
Hearst,CA,49.68,-83.67,70.3,58,93,5.75,overcast clouds,0,0
Hudiksvall,SE,61.73,17.1,55.98,49,100,10.09,overcast clouds,0,0
Bridgetown,BB,13.1,-59.62,86,62,75,18.34,broken clouds,0,0
Taoudenni,ML,22.68,-3.98,108.97,7,4,3.22,clear sky,0,0
Khasan,RU,42.43,130.64,55.49,78,2,5.21,clear sky,0,0
Cherskiy,RU,68.75,161.3,44.69,58,98,15.41,overcast clouds,0,0
Ormara,PK,25.21,64.64,86.23,76,14,14.9,few clouds,0,0
Mikkeli,FI,61.69,27.27,60.8,34,21,9.17,few clouds,0,0
Matangad,PH,8.58,124.37,75.99,93,95,7,overcast clouds,0,0
Tera,NE,14.01,0.75,91.9,36,99,9.57,overcast clouds,0,0
Digha,IN,21.68,87.55,84.83,81,3,17.29,clear sky,0,0
Mandan,US,46.83,-100.89,60.8,51,1,18.34,clear sky,0,0
Sur,OM,22.57,59.53,93.2,45,51,7.43,broken clouds,0,0
Hoquiam,US,46.98,-123.89,57.99,76,1,3.36,clear sky,0,0
Daru,PG,-9.08,143.21,78.01,87,98,14.38,light rain,0,0
Kamaishi,JP,39.27,141.88,54.39,79,1,6.49,clear sky,0,0
Qurayyat,SA,31.33,37.34,91.4,16,0,11.41,clear sky,0,0
Tonantins,BR,-2.87,-67.8,80.58,79,94,2.71,light rain,0,0
Avera,US,33.19,-82.53,75.2,80,90,8.05,overcast clouds,0,0
Vostochnyy,RU,55.82,37.87,68,34,100,8.95,overcast clouds,0,0
Sterling,US,39.01,-77.43,75,88,90,10.29,light rain,0,0
Mutata,CO,7.24,-76.44,78.76,77,100,1.19,light rain,0,0
Lahij,YE,13.17,44.58,87.26,45,87,14.67,light rain,0,0
Tecoanapa,MX,16.52,-98.75,83.23,53,3,2.3,clear sky,0,0
Alofi,NU,-19.06,-169.92,73.4,94,77,4.7,broken clouds,0,0
Coulommiers,FR,48.81,3.08,77,38,45,8.05,scattered clouds,0,0
Riverton,US,40.52,-111.94,71.01,49,1,4.7,clear sky,0,0
Tommot,RU,58.96,126.29,44.92,67,84,8.72,broken clouds,0,0
Norman Wells,CA,65.28,-126.83,42.8,56,5,5.82,clear sky,0,0
Victoria,HK,22.29,114.16,80.01,88,8,11.01,clear sky,0,0
Nuuk,GL,64.18,-51.72,35.01,74,90,5.82,overcast clouds,0,0
Mkushi,ZM,-13.62,29.39,74.75,43,29,5.93,scattered clouds,0,0
Srednekolymsk,RU,67.45,153.68,46.44,53,0,11.81,clear sky,0,0
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,87,75,1.05,broken clouds,0,0
Tubuala,PA,9.52,-79.03,81,88,75,4.7,broken clouds,0,0
Lavrentiya,RU,65.58,-171,32.32,97,100,6.76,overcast clouds,0,0
Concordia,AR,-31.39,-58.02,63,77,0,6.93,clear sky,0,0
Sawakin,SD,19.11,37.33,91.87,34,0,9.01,clear sky,0,0
Puerto Barrios,GT,15.72,-88.6,82.4,78,40,1.28,scattered clouds,0,0
Mogocha,RU,53.73,119.77,43.77,93,86,3.53,overcast clouds,0,0
Mount Isa,AU,-20.73,139.5,66.2,36,100,9.17,overcast clouds,0,0
Grand Gaube,MU,-20.01,57.66,75,82,25,7,scattered clouds,0,0
Vestmannaeyjar,IS,63.44,-20.27,46.4,100,90,23.04,moderate rain,0,0
Ekibastuz,KZ,51.67,75.37,65.53,27,0,6.2,clear sky,0,0
Sept-Iles,CA,50.2,-66.38,60.01,76,75,5.82,broken clouds,0,0
Zhangye,CN,38.93,100.45,67.55,26,0,6.71,clear sky,0,0
Isangel,VU,-19.55,169.27,73.62,85,19,9.44,few clouds,0,0
Hami,CN,42.8,93.45,67.55,28,67,20.58,broken clouds,0,0
Port Hardy,CA,50.7,-127.42,50,100,90,6.93,overcast clouds,0,0
Kupang,ID,-10.17,123.58,78.3,81,19,12.46,few clouds,0,0
Lasa,IT,46.62,10.7,59,44,75,8.05,broken clouds,0,0
Clyde River,CA,70.47,-68.59,28.4,86,75,23.04,light snow,0,0
Krompachy,SK,48.91,20.88,64.99,42,32,14.99,light rain,0,0
Morant Bay,JM,17.88,-76.41,86,66,20,5.82,few clouds,0,0
Ballina,AU,-28.87,153.57,64.4,93,90,6.93,overcast clouds,0,0
Ixtapa,MX,20.7,-105.2,80.01,61,90,3.36,overcast clouds,0,0
Roebourne,AU,-20.78,117.13,71.42,40,0,9.26,clear sky,0,0
Kahului,US,20.89,-156.47,70,68,1,3.36,clear sky,0,0
Entre Rios,BR,-11.94,-38.08,77.49,86,63,11.52,light rain,0,0
Port Lincoln,AU,-34.73,135.87,55.63,73,1,10.18,clear sky,0,0
Nerchinskiy Zavod,RU,51.31,119.61,53.29,90,100,2.71,light rain,0,0
Witu,KE,-2.39,40.44,79.23,83,14,8.97,few clouds,0,0
Vitim,RU,59.45,112.56,36.1,84,87,2.3,overcast clouds,0,0
Forbes,AU,-33.38,148.02,46,88,0,4.21,clear sky,0,0
Chokurdakh,RU,70.63,147.92,47.7,50,100,15.03,overcast clouds,0,0
Marawi,PH,8,124.29,75.99,93,99,7,light rain,0,0
Faya,SA,18.39,42.45,84.2,7,40,11.41,scattered clouds,0,0
Weyburn,CA,49.67,-103.85,54,63,0,25.01,clear sky,0,0
Telemaco Borba,BR,-24.32,-50.62,69.06,30,0,3.11,clear sky,0,0
Goundam,ML,16.41,-3.67,99.82,20,75,4.81,broken clouds,0,0
Loandjili,CG,-4.76,11.86,82.4,74,20,11.41,few clouds,0,0
Yumen,CN,40.28,97.2,67.5,34,100,24.96,overcast clouds,0,0
Atar,MR,20.52,-13.05,107.71,7,0,4.9,clear sky,0,0
Necochea,AR,-38.55,-58.74,57.99,64,97,10,overcast clouds,0,0
Dhidhdhoo,MV,6.88,73.1,80.87,85,100,15.12,overcast clouds,0,0
Niteroi,BR,-22.88,-43.1,73.4,60,75,5.82,broken clouds,0,0
Sao Filipe,CV,14.9,-24.5,78.6,64,0,6.38,clear sky,0,0
Khani,GE,41.96,42.96,66.2,82,75,12.75,broken clouds,0,0
Nemuro,JP,43.32,145.57,47.55,84,96,7.74,overcast clouds,0,0
Hailey,US,43.52,-114.32,59,54,20,11.41,few clouds,0,0
Tiksi,RU,71.69,128.87,24.35,95,32,3.18,scattered clouds,0,0
Nome,US,64.5,-165.41,37,100,75,0.87,broken clouds,0,0
Hilton Head Island,US,32.22,-80.75,82,88,75,11.41,broken clouds,0,0
Christchurch,NZ,-43.53,172.63,48.99,93,96,2.24,overcast clouds,0,0
Tarakan,ID,3.3,117.63,84.16,74,100,6.17,overcast clouds,0,0
Kenai,US,60.55,-151.26,41,68,1,4.61,clear sky,0,0
Elizabeth City,US,36.29,-76.25,75.99,94,90,10.29,mist,0,0
Nanakuli,US,21.39,-158.15,73.4,93,90,8.05,overcast clouds,0,0
