City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
Codo,BR,-4.46,-43.89,88.66,58,47,3.8,scattered clouds,0,0
Vientiane,LA,17.97,102.6,77.18,89,61,1.97,light rain,0,0
Bilibino,RU,68.05,166.44,32.74,89,0,2.28,clear sky,0,0
Kitimat,CA,54.05,-128.65,48.99,90,100,2.35,light rain,0,0
Okhotsk,RU,59.38,143.3,37.85,87,98,8.84,overcast clouds,0,0
Talnakh,RU,69.49,88.4,39.2,69,75,8.95,broken clouds,0,0
Longyearbyen,SJ,78.22,15.64,41,80,75,6.93,broken clouds,0,0
Hovd,MN,48.01,91.64,48.15,48,76,4.27,broken clouds,0,0
Bud,US,39.45,-86.18,68,94,90,5.82,overcast clouds,0,0
Antofagasta,CL,-23.65,-70.4,64.4,63,75,4.7,broken clouds,0,0
Fare,PF,-16.7,-151.02,81.59,78,8,13.69,light rain,0,0
Clayton,US,33.53,-84.37,75.99,94,90,4.7,light intensity drizzle,0,0
Inirida,CO,3.87,-67.92,82.69,79,94,1.97,light rain,0,0
Tres Arroyos,AR,-38.37,-60.28,57.02,63,97,8.57,overcast clouds,0,0
Dalby,AU,-27.18,151.27,48.99,86,0,7.2,clear sky,0,0
Praia Da Vitoria,PT,38.73,-27.07,64.4,59,20,8.77,few clouds,0,0
Lashio,MM,22.93,97.75,66.27,98,4,1.21,light rain,0,0
Shu,KZ,43.6,73.76,77,68,0,10,clear sky,0,0
Dunmore Town,BS,25.5,-76.65,79,82,70,12.66,broken clouds,0,0
Eganville,CA,45.53,-77.1,79,69,40,9.17,scattered clouds,0,0
College,US,64.86,-147.8,50,65,75,3.36,broken clouds,0,0
Leh,IN,34.17,77.58,51.12,43,59,5.7,broken clouds,0,0
Wajima,JP,37.4,136.9,59.99,74,0,5.28,clear sky,0,0
Chirongui,YT,-12.93,45.15,80.6,69,40,13.87,scattered clouds,0,0
Vila Franca Do Campo,PT,37.72,-25.43,64.4,59,20,14.99,few clouds,0,0
Matias Romero,MX,16.88,-95.03,90.32,52,86,1.07,overcast clouds,0,0
Altay,CN,47.87,88.12,55.18,39,68,6.87,broken clouds,0,0
Hofn,IS,64.25,-15.21,50,87,75,16.11,haze,0,0
Saskylakh,RU,71.92,114.08,30.54,91,98,10.89,overcast clouds,0,0
Broome,US,42.25,-75.83,75,77,90,9.17,overcast clouds,0,0
Puerto Montt,CL,-41.47,-72.94,39.2,93,90,3.53,drizzle,0,0
Ponta Do Sol,PT,32.67,-17.1,71.01,69,71,5.01,broken clouds,0,0
Tilichiki,RU,60.47,166.1,31.98,97,100,8.37,overcast clouds,0,0
Trelew,AR,-43.25,-65.31,52.97,43,100,3.24,overcast clouds,0,0
Le Port,RE,-20.94,55.29,75.2,73,8,17.22,clear sky,0,0
Port Hedland,AU,-20.32,118.57,66.2,77,75,5.82,broken clouds,0,0
Port Blair,IN,11.67,92.75,84.63,79,100,7.11,overcast clouds,0,0
Nishihara,JP,26.18,127.76,77,73,90,3.36,overcast clouds,0,0
Saint-Leu,RE,-21.15,55.28,75.2,73,3,5.82,clear sky,0,0
Georgetown,MY,5.41,100.34,86,79,20,5.46,few clouds,0,0
Wattegama,LK,6.8,81.48,79.84,78,70,12.73,light rain,0,0
Kuandian,CN,40.73,124.78,52.95,84,0,0.65,clear sky,0,0
Robertson,US,36.52,-86.87,73.4,78,90,8.05,overcast clouds,0,0
Ranong,TH,9.97,98.63,82.63,80,96,5.06,overcast clouds,0,0
Saint Anthony,US,45.02,-93.22,68,52,90,5.82,overcast clouds,0,0
Riyadh,SA,24.69,46.72,105.8,7,0,9.17,clear sky,0,0
Sungairaya,ID,0.7,108.9,80.58,83,75,4.68,broken clouds,0,0
Margate,GB,51.38,1.39,62.01,73,0,8.01,clear sky,0,0
Ambanja,MG,-13.68,48.45,75.52,81,1,4.23,clear sky,0,0
Turayf,SA,31.67,38.66,89.6,18,1,14.99,clear sky,0,0
Fort Nelson,CA,58.81,-122.7,50,76,20,4.7,few clouds,0,0
Yarmouth,US,41.71,-70.23,71.01,94,40,9.17,scattered clouds,0,0
Beyneu,KZ,45.32,55.2,94.87,10,0,8.61,clear sky,0,0
Catamarca,AR,-28.47,-65.79,66.99,52,0,4.27,clear sky,0,0
Cockburn Town,TC,21.46,-71.14,84.2,70,75,9.17,broken clouds,0,0
Jizan,SA,17.33,42.67,93.2,71,20,19.46,few clouds,0,0
Sabzevar,IR,36.21,57.68,87.46,16,0,19.98,clear sky,0,0
Tuy Hoa,VN,13.08,109.3,79.5,83,41,3.6,light rain,0,0
Butterworth,MY,5.4,100.36,86,79,20,5.03,few clouds,0,0
Shahrud,IR,36.42,54.98,80.15,22,0,11.83,clear sky,0,0
Port-Cartier,CA,50.03,-66.87,60.01,76,75,5.82,broken clouds,0,0
Ishigaki,JP,24.34,124.16,80.33,84,29,12.41,scattered clouds,0,0
Keflavik,IS,64,-22.56,53.6,100,90,21.92,mist,0,0
Aykhal,RU,66,111.5,30.2,74,90,6.71,overcast clouds,0,0
Karratha,AU,-20.74,116.85,69.85,45,0,8.03,clear sky,0,0
Taguatinga,BR,-12.39,-46.57,86.32,51,13,5.39,few clouds,0,0
Lagoa,PT,39.05,-27.98,58.82,58,40,6.13,scattered clouds,0,0
Santiago Del Estero,AR,-27.8,-64.26,69.48,41,0,9.31,clear sky,0,0
Balikpapan,ID,-1.27,116.83,75.06,92,100,2.8,light rain,0,0
Santa Cruz De Tenerife,ES,28.47,-16.25,78.8,24,98,10.29,overcast clouds,0,0
Shiyan,CN,32.65,110.78,71.74,52,100,3.78,overcast clouds,0,0
Olafsvik,IS,64.89,-23.71,46.51,93,96,11.32,light rain,0,0
Geraldton,AU,-28.77,114.6,60.8,72,75,6.93,broken clouds,0,0
Beringovskiy,RU,63.05,179.32,33.94,97,100,14.72,moderate rain,0,0
Plouzane,FR,48.38,-4.62,78.8,27,0,18.34,clear sky,0,0
Sao Paulo De Olivenca,BR,-3.38,-68.87,83.14,71,56,3.06,light rain,0,0
Crestview,US,30.76,-86.57,84,69,20,13.87,light rain,0,0
Constitucion,CL,-35.33,-72.42,58.01,67,94,0.56,overcast clouds,0,0
San Isidro,PE,-12.12,-77.05,68,77,90,2.24,overcast clouds,0,0
Manggar,ID,-2.88,108.27,83.32,76,97,10.4,overcast clouds,0,0
Ojinaga,MX,29.57,-104.42,86,35,1,8.05,clear sky,0,0
Krasnoselkup,RU,65.7,82.47,54.23,49,95,7.78,overcast clouds,0,0
Ahipara,NZ,-35.17,173.17,60.17,90,100,9.37,moderate rain,0,0
Vieux-Habitants,GP,16.06,-61.77,87.8,58,75,12.75,broken clouds,0,0
Lithakia,GR,37.72,20.83,75.2,47,20,11.41,few clouds,0,0
Zheleznodorozhnyy,RU,55.75,38,68,49,100,8.95,overcast clouds,0,0
Barra,BR,-11.09,-43.14,84.99,54,3,4.56,clear sky,0,0
Pamanukan,ID,-6.28,107.81,79.92,79,100,5.95,overcast clouds,0,0
Kendari,ID,-3.94,122.5,77.5,91,67,1.79,light rain,0,0
Khatra,IN,22.98,86.85,88.54,66,51,18.81,broken clouds,0,0
Birao,CF,10.28,22.79,103.19,14,87,7.36,overcast clouds,0,0
San Quintin,MX,30.48,-115.95,65.07,86,86,2.71,overcast clouds,0,0
Hit,IQ,33.64,42.83,107.53,7,58,6.33,broken clouds,0,0
Aksay,RU,47.26,39.87,84.2,35,0,17.9,clear sky,0,0
Salta,AR,-24.79,-65.41,60.8,59,0,2.24,clear sky,0,0
Zlitan,LY,32.47,14.57,71.71,47,6,16.6,clear sky,0,0
Ponta Delgada,PT,37.73,-25.67,64.4,59,20,14.99,few clouds,0,0
Portland,US,45.52,-122.68,66.99,67,97,2.93,overcast clouds,0,0
Cam Ranh,VN,11.92,109.16,86,89,20,3.36,few clouds,0,0
Quibdo,CO,5.69,-76.66,82.31,79,77,0.67,light rain,0,0
San Buenaventura,MX,27.08,-101.53,84,59,0,1.01,clear sky,0,0
Mokhsogollokh,RU,61.47,128.92,38.25,74,53,8.84,broken clouds,0,0
Washington,US,47.5,-120.5,60.01,52,100,3,overcast clouds,0,0
Sao Benedito Do Rio Preto,BR,-3.33,-43.53,91.24,48,5,4.25,clear sky,0,0
Bacolod,PH,10.67,122.95,81.86,77,100,2.21,overcast clouds,0,0
Ampanihy,MG,-24.7,44.75,68.43,78,59,11.27,broken clouds,0,0
Altamira,BR,-3.2,-52.21,85.55,71,40,3.38,light rain,0,0
Carroll,US,39.55,-77.02,72,100,100,1.01,moderate rain,0,0
Nyurba,RU,63.28,118.33,34.92,80,99,6.33,overcast clouds,0,0
Yatou,CN,37.15,122.38,59.18,73,0,7.52,clear sky,0,0
Lorengau,PG,-2.02,147.27,80.31,83,100,6.93,light rain,0,0
Chandbali,IN,20.78,86.77,84.29,68,93,12.86,overcast clouds,0,0
Puerto Escondido,MX,15.85,-97.07,82.4,83,20,3.49,few clouds,0,0
Hamilton,US,39.18,-84.53,73.99,88,90,8.05,overcast clouds,0,0
Noumea,NC,-22.28,166.46,73.99,88,9,5.86,clear sky,0,0
Vila,PT,42.03,-8.16,89.01,45,40,11.41,scattered clouds,0,0
Jimenez,MX,28.33,-105.4,71.6,17,5,8.05,clear sky,0,0
Impfondo,CG,1.64,18.07,93.63,42,100,3.33,overcast clouds,0,0
Peterhead,GB,57.51,-1.8,69.8,56,40,6.93,scattered clouds,0,0
Porto Belo,BR,-27.16,-48.55,70,68,20,8.05,few clouds,0,0
Savasleyka,RU,55.46,42.32,66.83,60,65,2.24,broken clouds,0,0
Preobrazheniye,RU,42.9,133.91,55.29,71,81,6.73,broken clouds,0,0
Sangar,RU,63.92,127.47,33.73,95,100,16.4,light snow,0,0
Osoyoos,CA,49.03,-119.45,57.2,62,75,6.93,broken clouds,0,0
Wanning,CN,18.8,110.4,80.42,87,91,3.27,overcast clouds,0,0
Kirkland Lake,CA,48.14,-80.04,73.4,73,75,13.87,broken clouds,0,0
Cayenne,GF,4.93,-52.33,82.4,78,100,8.05,light rain,0,0
Clarence Town,AU,-32.58,151.78,55.99,100,75,5.82,light rain,0,0
Korla,CN,41.76,86.15,74.23,22,0,14.45,clear sky,0,0
Edd,ER,13.93,41.69,91.17,53,89,9.42,overcast clouds,0,0
Bonga,ET,7.28,36.23,65.52,88,100,0.51,light rain,0,0
Poum,NC,-20.23,164.02,75.67,78,67,11.45,broken clouds,0,0
Meulaboh,ID,4.14,96.13,81.12,83,100,4.23,overcast clouds,0,0
Nouadhibou,MR,20.93,-17.03,78.8,57,0,16.11,clear sky,0,0
Omboue,GA,-1.57,9.26,77.94,85,93,10.07,light rain,0,0
Paraiso,CR,9.84,-83.87,77,60,97,5.82,light rain,0,0
Carauari,BR,-4.88,-66.9,79.77,75,100,1.66,overcast clouds,0,0
Port Hueneme,US,34.15,-119.2,60.8,93,90,3.36,mist,0,0
Paamiut,GL,61.99,-49.67,34.7,88,84,16.96,broken clouds,0,0
Paita,PE,-5.09,-81.11,75.2,73,1,12.75,clear sky,0,0
Lima,PE,-12.04,-77.03,68,77,90,2.24,overcast clouds,0,0
Vardo,NO,70.37,31.11,48.2,61,70,9.17,broken clouds,0,0
San Cristobal,VE,7.77,-72.22,82.4,61,40,2.24,scattered clouds,0,0
Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,86.18,64,43,2.15,light rain,0,0
Fortuna,US,40.6,-124.16,57,100,90,2.93,overcast clouds,0,0
Tevaitoa,PF,-16.78,-151.5,81.99,77,12,14.52,light rain,0,0
Marrakesh,MA,31.63,-8.01,91.4,27,50,11.41,scattered clouds,0,0
Axim,GH,4.87,-2.24,84.33,74,69,11.45,light rain,0,0
Ancud,CL,-41.87,-73.82,48,87,90,11.41,overcast clouds,0,0
Superior,US,46.72,-92.1,68,67,90,1.61,overcast clouds,0,0
Bosaso,SO,11.28,49.18,92.44,56,100,3.2,overcast clouds,0,0
Havelock,US,34.88,-76.9,75,89,83,5.01,light rain,0,0
Neiafu,TO,-18.65,-173.98,69.8,94,20,8.9,few clouds,0,0
Rio Grande,BR,-32.03,-52.1,72,49,0,4.7,clear sky,0,0
Camp Verde,US,34.56,-111.85,78.01,27,0,2.55,clear sky,0,0
Rocha,UY,-34.48,-54.33,66.11,59,0,4.05,clear sky,0,0
Zhukovka,RU,53.53,33.73,60.8,51,40,8.95,scattered clouds,0,0
Tromso,NO,69.65,18.96,44.6,87,75,16.11,light intensity shower rain,0,0
Carballo,ES,43.21,-8.69,84.2,48,26,9.17,scattered clouds,0,0
Veszto,HU,46.92,21.27,68,51,20,11.41,few clouds,0,0
Pevek,RU,69.7,170.31,33.91,88,0,13.56,clear sky,0,0
Lakes Entrance,AU,-37.88,147.98,46,96,21,6.15,few clouds,0,0
Thohoyandou,ZA,-22.95,30.48,63.72,55,0,7.4,clear sky,0,0
Tomatlan,MX,19.93,-105.25,82.06,57,22,0.85,few clouds,0,0
Palmerston,AU,-12.49,130.98,73.4,78,42,4.7,scattered clouds,0,0
Kavaratti,IN,10.57,72.64,86.43,76,100,11.63,overcast clouds,0,0
Kushiro,JP,42.98,144.37,49.51,82,89,4.43,overcast clouds,0,0
Nagaur,IN,27.2,73.73,99.52,10,25,7.92,scattered clouds,0,0
Canutama,BR,-6.53,-64.38,82.4,61,56,2.73,broken clouds,0,0
Nieuwpoort,BE,51.12,2.77,68,59,20,21.92,few clouds,0,0
Chagoda,RU,59.16,35.33,66.83,46,75,6.38,broken clouds,0,0
Lamar,US,33.67,-95.58,73,93,40,3.36,light rain,0,0
Majene,ID,-3.54,118.97,78.8,83,100,5.03,light rain,0,0
Iskateley,RU,67.68,53.15,56.7,48,94,7.4,overcast clouds,0,0
Mandalgovi,MN,45.76,106.27,49.89,62,65,22.93,broken clouds,0,0
Georgiyevka,KZ,43.04,74.71,71.6,37,0,11.18,clear sky,0,0
Providencia,MX,28.72,-111.58,82.99,61,0,3,clear sky,0,0
Nelson Bay,AU,-32.72,152.15,55.99,100,75,5.82,light rain,0,0
Kamphaeng Phet,TH,16.48,99.52,91.99,78,69,5.57,broken clouds,0,0
Nikolayevsk-Na-Amure,RU,53.14,140.73,38.26,80,98,3.29,overcast clouds,0,0
Zhuanghe,CN,39.7,122.99,59,87,100,3.85,overcast clouds,0,0
Burnie,AU,-41.07,145.92,50,77,43,3,scattered clouds,0,0
Omsukchan,RU,62.53,155.8,24.51,94,0,5.75,clear sky,0,0
Haines Junction,CA,60.75,-137.51,52.32,54,0,1.95,clear sky,0,0
Erzin,TR,36.96,36.2,71.01,76,0,14,clear sky,0,0
Gerede,TR,40.8,32.2,50.74,84,63,6.53,light rain,0,0
Jaffna,LK,9.67,80.01,84.99,82,34,25.17,scattered clouds,0,0
Sarakhs,IR,36.54,61.16,100.4,18,0,13.87,clear sky,0,0
Barstow,US,34.9,-117.02,77,31,1,11.41,clear sky,0,0
Marystown,CA,47.17,-55.15,54.19,88,100,11.79,overcast clouds,0,0
Arona,ES,28.1,-16.68,80.01,64,20,9.17,few clouds,0,0
Surt,LY,31.21,16.59,70.54,56,0,15.3,clear sky,0,0
Port Stanley,FK,-51.7,-57.85,41,80,20,6.93,few clouds,0,0
Ilulissat,GL,69.22,-51.1,35.6,64,75,6.93,broken clouds,0,0
Zharkovskiy,RU,55.85,32.27,66,50,82,1.19,broken clouds,0,0
Aquiraz,BR,-3.9,-38.39,87.8,66,75,14.99,broken clouds,0,0
Guantanamo,CU,20.14,-75.21,87.01,74,75,3.36,broken clouds,0,0
Charters Towers,AU,-20.1,146.27,59.11,61,0,7.23,clear sky,0,0
Saldanha,ZA,-33.01,17.94,60.8,63,100,14.99,overcast clouds,0,0
Kathmandu,NP,27.72,85.32,69.8,88,20,2.24,few clouds,0,0
Ust-Maya,RU,60.42,134.53,50.14,91,100,5.03,light rain,0,0
Ayacucho,PE,-13.16,-74.22,55.4,35,85,3.36,overcast clouds,0,0
Kieta,PG,-6.22,155.63,80.11,76,97,1.66,overcast clouds,0,0
Sarkand,KZ,45.41,79.92,57.81,35,0,4.07,clear sky,0,0
Moa,CU,20.66,-74.94,83.68,72,100,11.25,overcast clouds,0,0
Kruisfontein,ZA,-34,24.73,60.03,70,100,11.68,overcast clouds,0,0
Suez,EG,29.97,32.53,84.49,27,0,14.94,clear sky,0,0
Kamina,CD,-8.74,24.99,79.05,51,95,3.09,overcast clouds,0,0
Kabo,CF,7.7,18.63,92.8,48,100,4.99,overcast clouds,0,0
Naron,ES,43.52,-8.15,84.2,48,17,9.17,few clouds,0,0
Varkaus,FI,62.32,27.87,62.6,33,9,16.11,clear sky,0,0
Inhambane,MZ,-23.86,35.38,75.2,41,20,8.05,few clouds,0,0
Shenjiamen,CN,29.96,122.3,70.72,73,90,11.14,overcast clouds,0,0
Basco,PH,20.45,121.97,83.89,82,95,7.63,light rain,0,0
Mahon,ES,39.89,4.27,73.4,56,20,8.05,few clouds,0,0
Stony Plain,CA,53.53,-114,54,76,1,3.36,clear sky,0,0
Grindavik,IS,63.84,-22.43,48.2,100,90,21.92,mist,0,0
Tweed,CA,44.48,-77.32,73.99,78,99,5.99,overcast clouds,0,0
Waycross,US,31.21,-82.35,84,69,40,6.93,scattered clouds,0,0
Pangkalanbuun,ID,-2.68,111.62,75.25,88,97,3.31,overcast clouds,0,0
Sfantu Gheorghe,RO,45.87,25.78,59,83,87,4,moderate rain,0,0
Pimentel,PE,-6.84,-79.93,69.8,83,90,4.7,overcast clouds,0,0
Tamale,GH,9.4,-0.84,99.01,33,25,5.91,scattered clouds,0,0
Pinega,RU,64.7,43.39,63.46,47,64,11.05,light rain,0,0
Mirabad,AF,30.44,61.84,96.58,12,0,27.36,clear sky,0,0
Laguna,US,38.42,-121.42,73,63,1,5.82,clear sky,0,0
Honningsvag,NO,70.98,25.97,44.15,75,98,24.14,light rain,0,0
Stornoway,GB,58.21,-6.39,68,72,40,12.75,scattered clouds,0,0
Chunskiy,RU,56.08,99.63,41.83,86,74,3.4,broken clouds,0,0
Zaysan,KZ,47.47,84.87,57.69,35,1,8.19,clear sky,0,0
Port Macquarie,AU,-31.43,152.92,55.99,97,10,6.29,clear sky,0,0
Monki,PL,53.41,22.8,63,78,100,35.01,overcast clouds,0,0
Shasta Lake,US,40.68,-122.37,77,66,0,2.46,clear sky,0,0
Biloli,IN,18.77,77.73,97.99,13,0,7.72,clear sky,0,0
Padang,ID,-0.95,100.35,81.48,82,89,2.59,overcast clouds,0,0
Vao,NC,-22.67,167.48,73.29,83,30,12.44,scattered clouds,0,0
Petropavlovka,RU,50.61,105.32,45.54,57,100,3.65,overcast clouds,0,0
Lubao,PH,14.92,120.55,82.4,83,75,4.7,broken clouds,0,0
Praya,CV,14.92,-23.51,86,45,0,16.11,clear sky,0,0
Makiyivka,UA,48.05,37.93,74.26,61,0,13.38,clear sky,0,0
Havre-Saint-Pierre,CA,50.23,-63.6,55.4,62,75,12.75,broken clouds,0,0
Palmer,US,42.16,-72.33,73,78,90,6.93,overcast clouds,0,0
Springdale,US,36.19,-94.13,66,100,90,5.82,mist,0,0
Rochelle,FR,46.25,-1,82.4,34,0,13.87,clear sky,0,0
Buala,SB,-8.14,159.59,81.45,77,100,4.76,overcast clouds,0,0
Waingapu,ID,-9.66,120.26,78.67,86,80,1.45,broken clouds,0,0
Renqiu,CN,38.7,116.09,83.12,15,12,15.1,few clouds,0,0
Snyder,US,32.72,-100.92,75.2,53,1,10.29,clear sky,0,0
Bontang,ID,0.13,117.5,75.88,88,100,9.37,light rain,0,0
Kisesa,TZ,-3.08,34.15,78.57,49,65,5.57,broken clouds,0,0
Husavik,IS,66.04,-17.34,57.2,47,75,20.8,broken clouds,0,0
Miranda,CO,3.25,-76.23,77,83,75,2.24,broken clouds,0,0
Brae,GB,60.4,-1.35,57.2,82,75,11.41,broken clouds,0,0
Emmett,US,43.87,-116.5,66.99,47,75,3,broken clouds,0,0
Santa Rosalia,MX,27.32,-112.28,81,39,0,2.44,clear sky,0,0
Sao Pedro Do Sul,BR,-29.62,-54.18,69.12,56,0,4.68,clear sky,0,0
Tual,ID,-5.67,132.75,82,84,100,15.97,moderate rain,0,0
Alangayam,IN,12.6,78.75,85.28,49,87,4.79,overcast clouds,0,0
Podporozhye,RU,60.91,34.17,59.05,61,100,7.07,overcast clouds,0,0
Strai,NO,58.2,7.9,60.01,51,0,11.41,clear sky,0,0
Bambous Virieux,MU,-20.34,57.76,77,78,40,12.75,shower rain,0,0
Eureka,US,40.8,-124.16,57,9,2,1.99,clear sky,0,0
Tadine,NC,-21.55,167.88,72.16,85,21,8.32,few clouds,0,0
Orahovac,XK,42.4,20.65,59,58,40,5.82,scattered clouds,0,0
Tabou,CI,4.42,-7.35,82.49,77,79,9.08,light rain,0,0
Lormi,IN,22.28,81.73,94.3,17,25,5.82,scattered clouds,0,0
Ambilobe,MG,-13.2,49.05,74.25,84,0,1.77,clear sky,0,0
Tiznit,MA,29.58,-9.5,80.28,44,0,9.26,clear sky,0,0
Thinadhoo,MV,0.53,72.93,84.85,72,60,10.02,broken clouds,0,0
Killybegs,IE,54.63,-8.45,77,47,100,9.17,overcast clouds,0,0
Kodyma,UA,48.1,29.12,55,90,100,16.17,moderate rain,0,0
Vanimo,PG,-2.67,141.3,79.29,84,99,7.81,light rain,0,0
Misratah,LY,32.38,15.09,71.24,47,1,12.5,clear sky,0,0
Pueblo Nuevo,MX,23.38,-105.38,76.62,35,0,3.06,clear sky,0,0
Yarkovo,RU,57.4,67.08,69.13,78,85,8.5,light rain,0,0
Adrar,MR,20.5,-10.07,104.92,9,12,6.4,few clouds,0,0
Peniche,PT,39.36,-9.38,87.01,62,0,7,clear sky,0,0
Otradnoye,RU,59.78,30.82,59,67,75,13.42,broken clouds,0,0
Gigmoto,PH,13.78,124.39,81.48,85,4,7.9,clear sky,0,0
Deep River,CA,46.1,-77.5,73.4,69,40,9.17,scattered clouds,0,0
Mount Gambier,AU,-37.83,140.77,48.2,100,2,11.41,clear sky,0,0
Bangassou,CF,4.74,22.82,91.18,54,99,1.07,overcast clouds,0,0
Micheweni,TZ,-4.97,39.83,79.9,84,3,10.33,clear sky,0,0
Alihe,CN,50.57,123.72,59.13,50,87,4.34,overcast clouds,0,0
Mercedes,AR,-34.65,-59.43,66,71,0,1.99,clear sky,0,0
